Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
Jail Ministry Office,31150010200000140010000000,31150010200000140010000000,259 East Onondaga Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 9 AM - 3 PM",,,,,,,,,,,,,,,315-424-1877,,jailministry@gmail.com,http://bradyfaithcenter.org/ministries/,"Private, Nonprofit",Provides visitor/advocate relationships with individuals at the Onondaga County Justice Center.,Onondaga County,,Individuals incarcerated in the Onondaga County Justice Center,,501(c)(3),Faith-based,"Donations, Human Development, and Glory Bee Bakery",Limited accessibility; call for details,None,Call for information and services,None,Offender Advocates; Prison Ministries; Inmate Visitation Programs; Bail Bonds;,NY - Onondaga County;,-76.15019453,43.04663336
Prince of Peace Food Pantry,31150010200000140010000000,31150010200000140010000000,317 East Jefferson Street,,Syracuse,Onondaga,NY,13202,"Fourth Saturday of the month, 10 AM - 12 Noon",,,,,,,,,,,,,,,315-474-1238,,,theprinceofpeacembc.org,,Provides a food pantry for individuals in need once a month.,Immediate neighborhood; Call Interreligious Food Consortium at 315-474-8855 to determine if within service boundaries,,Call Interreligious Food Consortium at 315-474-8855 to determine if within service boundaries,,Registered charity,Nonprofit - Unincorporated,,Fully Accessible,None,Call or walk-in,Call for required documentation,Food Pantries;,NY - Onondaga County - Syracuse - 13202;,-76.15019453,43.04663336
"Medical Answering Services, LLC",31150010200000140010000000,31150010200000140010000000,375 West Onondaga Street #15,,Syracuse,Onondaga,NY,13202,24 Hours / 7 Days,315-701-7500,Client Services,,,,,,,,,315-299-2723,,,,315-299-2775,,info@medanswering.com,www.medanswering.com,,"<p> Provides Medicaid Transportation Management. <span id=cphBody_lblAgencyDescription>Arranges all non-emergency Medicaid transportation for eligible Medicaid recipients, except for individuals enrolled in a Medicaid Managed Care program.<br /> <br /> ==============================<br /> <br /> Medicaid Cab, Medicaid Transportation Coordination</span><br /> </p>",27 Counties throughout New York State,,Qualifying Medicaid recipients,,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,Covered by Medicaid for those that qualify,Call 315-701-7500 to schedule a ride,,Medical Appointments Transportation;,NY - Saint Lawrence County; NY - Oswego County; NY - Onondaga County; NY - Lewis County; NY - Jefferson County;,-76.15019453,43.04663336
YMCA of Greater Syracuse,31150010200000010060000000,31150010200000010060000000,340 Montgomery Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 5:30 AM - 10 PM; Saturday, 6 AM - 6:30 PM; Sunday 12 Noon - 5 PM",,,,,,,,,,,315-474-6857,,,,315-474-6851,,,www.ycny.org,"Private, Nonprofit","<p> Provides a wide array of youth and adult fitness and wellness programs, child care, after school sites at several locations, housing for men, disease prevention programs, cancer survivor program, and other services to the community.</p>",Onondaga County,,Onondaga County residents,,501(c)(3),Nonprofit - Incorporated,"Membership dues, program fees, United Way, and private donations",Fully Accessible,Varies; call for information,Varies by program,Varies by program,Volunteer Opportunities; Y Facilities;,NY - Onondaga County;,-76.15018609,43.04751606
Syracuse Community Health Center (SCHC),31150009500000100030000000,31150009500000100030000000,819 South Salina Street,,Syracuse,Onondaga,NY,13202,Hours vary by service and location; call for details,,,,,,,,,,,315-475-1448,,,,315-476-7921,866-473-5178,,www.schcny.com/index.php,"Private, Nonprofit","<span id=cphbody_lblagencydescription>Provides basic medical, mental health, and dental care for residents of the community.</span>",Onondaga County,,Syracuse community residents,,501(c)(3),Nonprofit - Incorporated,"Medicaid, Medicare, third party insurance, self pay NY State and fedral grants, private support",All locations Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.15016371,43.03965269
Saint Joseph's Hospital Health Center,31150001700000110010040000,31150001700000110010040000,301 Prospect Avenue,,Syracuse,Onondaga,NY,13203,"Monday - Friday, 8 AM - 4:30 PM",315-448-5230,Admitting Office,315-448-5113,Patient Information,315-448-5111,Administrative,315-448-6161,Administrative Fax,,,,,1-888,,,,,www.sjhsyr.org,,"Provides health care to residents of 16 counties in Central New York. Includes a college of nursing, psychiatric emergency program, and two outpatient surgery centers. Offers several specialty services, including hemodialysis, maternity services, a separate birth center, emergency care, intensive care, wound care, dental services, suicide prevention and certified home health care. Operates several satellite facilities, including family and maternal child clinics, a dental clinic, psychiatric services center, The Wellness Place, Regional Dialysis Center, neighborhood dialysis centers, the Center for Wound Care and Hyperbaric Medicine, and a cardiopulmonary rehabilitation center.<br /><br />===============================<br />St. Joseph's Health Center, Saint Joseph's Health Center, St. Josephs Health Center, Saint Josephs Health Center","Jefferson, Lewis, Onondaga, Oswego and Saint Lawrence counties",,Individuals in need of medical care,,501(c)(3),Nonprofit - Unincorporated,Earnings and Contributions,,Call for fee and insurance information,,,General Acute Care Hospitals; Safe Havens for Abandoned Newborns;,NY - Jefferson County; NY - Lewis County; NY - Onondaga County; NY - Oswego County; NY - Saint Lawrence County;,-76.15015953,43.0561009
Cathedral Academy at Pompei (CAP),31150000800000150010000000,31150000800000150010000000,923 North McBride Street,,Syracuse,Onondaga,NY,13208,"Monday - Friday, 7:30 AM AM - 2:30 PM",,,,,,,,,,,315-472-0754,,,,315-422-8548,,cap@syrdiocese.org,www.capsyracuse.org,,"<span style=color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10.6667px;>Provides private, Catholic education for students in Pre-Kindergarten through 6th grade.</span>",Onondaga County,,Children in grades Pre-Kindergarten through 6th,,501(c)(3),Faith-based,,Fully Accessible,Call for tuition information,Call or go online to apply; application can be downloaded online but must be either mailed or given in person,Call for required documentation,Parochial Elementary Schools; Parochial Preschools;,NY - Onondaga County;,-76.15012884,43.05974281
Family Life Education,31150010200000130020000000,31150010200000130020000000,240 East Onondaga Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-295-1415,,,,315-472-6754,,lhall@syrdio.org,www.syracusediocese.org,"Private, Nonprofit",<p> Provides marriage and family enrichment services in the form of support groups and family education programs. </p>,Onondaga County,,,,501(c)(3),Nonprofit - Unincorporated,Church funds and donations,Fully Accessible,Varies; call for information,Call or go online for information and services,None,,NY - Onondaga County;,-76.14992678,43.04593075
Syracuse Teen Challenge,31150008500000130180000000,31150008500000130180000000,124 Furman Street,,Syracuse,Onondaga,NY,13205,"Monday - Friday, 9 AM - 4 PM; Saturday, 9 AM - 2 PM",,,,,,,,,,,315-472-0668,,,,315-478-4139,,teenchallenge@syracusetc.com,www.syracusetc.com/,"Private, Nonprofit",Provides a faith-based drug and alcohol rehabilitation center.<br /><br />===========================<br />Teen Challenge Syracuse,Onondaga County,,Males 18 years and older,,501(c)(3),Faith-based,Donations,Fully Accessible,Call for fee information,Call or go online for information and services,Picture ID and Social Security Card,,NY - Onondaga County;,-76.14975099,43.03185972
Samaritan Center,31150001700000220010000000,31150001700000220010000000,215 North State Street,,Syracuse,Onondaga,NY,13203,"Administrative hours: Monday - Friday, 8:30 AM - 5 PMBreakfast: Monday - Friday, 7:30 AM - 8:30 AMDinner: Monday - Thursday, 3:30 PM - 4:30 PM; Friday - Sunday and Holidays, 1:30 PM - 2:30 PM",315-472-0650,Office Phone,315-472-8156,Kitchen Phone,,,,,,,315-428-8821,,,,,,director@samcenter.org,www.samcenter.org,"Private, Nonprofit",<p> Offers hot meals 365 days a year to individuals in need without preconditions or questions. The Center also provides direct case management as well as on-site access to information and referrals to services and programs in the community of interest to those they serve.<br /> <br /> =====================<br /> Soup Kitchen</p>,Onondaga County,,No restrictions,,501(c)(3),Nonprofit - Unincorporated,"Private donations, United Way",Fully Accessible,None,Walk-in,None,Donation Drop Off Points; Food Donation Programs; Personal/Grooming Supplies Donation Programs; Soup Kitchens; Sack Lunches/Dinners; Case/Care Management; Information and Referral; Volunteer Opportunities; Personal/Grooming Supplies;,NY - Onondaga County;,-76.14962203,43.05278646
LiteracyCNY,31150009500000100010000000,31150009500000100010000000,100 New Street,Room 241,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 4:00 PM",,,,,,,,,,,315-565-3798,,,,315-471-1300,,info@literacycny.org,www.literacycny.org,"Private, Nonprofit","Provides literacy and English language instruction to adults who read, write, or speak English at or below the 6th grade level. Instruction is provided through small group classes taught by credentialed instructors and in one-to-one pairs with professionally recruited, trained, and supported volunteer tutors.<br /><br />=================================<br />Literacy CNY",Onondaga County,,"Adults in Onondaga County who read, write, and/or speak English at below-6th grade level",,501(c)(3),Nonprofit - Incorporated,"NYS Education Department, United Way of CNY, CNY Community Foundation, Dollar General Literacy Foundation, Allyn Foundation, Reisman Foundation, Fundraising",Fully Accessible,None,Appointment required; call for information,,Volunteer Opportunities;,NY - Onondaga County;,-76.14954195,43.03989265
State University of New York (SUNY) Educational Opportunity Center (EOC),31150009500000100010000000,31150009500000100010000000,100 New Street,,Syracuse,Onondaga,NY,13202,"Monday - Thursday, 8:30 AM - 7:30 PM and Friday, 8:30 AM - 5 PM",,,,,,,,,,,315-472-1241,,,,315-472-0130,,eocinfo@morrisville.edu,www.SyracuseEOC.com,,"Offers courses of instruction, counseling, employment and educational placement, and programs of community service to adults.<br /><br />============================<br />SUNY EOC, SUNY Educational Opportunity Center, State University of New York EOC, State University of New York Educational Opportunity Center",Onondaga County,,Adults and pre-qualified teens ages 17 years or older,,501(c)(3),Nonprofit - Unincorporated,New York State,Fully Accessible,None,Call or walk-in for information and services,Call for required documentation,,NY - Onondaga County;,-76.14954195,43.03989265
Onondaga County Children and Family Services,31150010200000130050000000,31150010200000130050000000,421 Montgomery Street,"Civic Center, 8th Floor",Syracuse,Onondaga,NY,13202,Administrative hours: 8:30 AM - 4:30 PM,315-435-2884,Business Line,315-422-9701,24 Hour Child Abuse Reporting Hotline,1-800-342-3720,Toll None 24 Hour Child Abuse Reporting Line,,,,,,,,,315-435-2884,,,www.ongov.net/cfs/,,"Provides public benefit programs along with casework programs for youth and their families in Onondaga County including divisions of child welfare, children's mental health/ OnCare, and the Youth Bureau which distributes a youth services directory.<br />",Onondaga County,,Youth in Onondaga County ages 21 years and younger and their families,,None or unknown,Government - County,,Fully Accessible,,,,,NY - Onondaga County;,-76.1495132,43.04583839
Onondaga County Commission on Human Rights,31150010200000130050000000,31150010200000130050000000,421 Montgomery Street,"Civic Center, 13th Floor",Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-435-2439,,,,315-435-3565,,,www.ongov.net/humanrights/,Public-County,"Fosters mutual self-respect and understanding among all racial, religious and ethnic groups in Onondaga County. Discourages and prevents discriminatory practices against any such group or its members.",Onondaga County,,No restrictions,,None or unknown,Government - County,Onondaga County,,None,Call for services and information,Call for information,Club Membership Discrimination Assistance; Customer Service Discrimination Assistance; Education Discrimination Assistance; Employment Discrimination Assistance; Health Care Discrimination Assistance; Housing Discrimination Assistance; Children's Rights Groups; Constitutional/Civil Rights Groups; Disability Rights Groups; Ethnic Advocacy Groups; Gay/Lesbian/Bisexual/Transgender Advocacy Groups; Immigrant Rights Groups; Men's Advocacy Groups; Senior Advocacy Groups; Victim's Rights Groups; Women's Advocacy Groups;,NY - Onondaga County;,-76.1495132,43.04583839
Onondaga County Community Development,31150010200000130050000000,31150010200000130050000000,421 Montgomery Street,"Civic Center, 11th Floor",Syracuse,Onondaga,NY,13202,"Monday - Friday, 8 AM - 4 PM",,,,,,,,,,,315-435-3794,,,,315-435-3558,,cd@ongov.net,www.ongov.net/cd/,Public-County,"Provides housing rehabilitation and development grants for low- and moderate-income residents of Onondaga County.<br /><br />=========================<br />Home Repair Grants, Home Rehabilitation Grants, Home Modification Grants, Disability Modification Grants",Onondaga County,,Low to moderate income residents of Onondaga County,,None or unknown,Government - County,Federal and state government,Fully Accessible,None,Varies by program,,Community Development Block Grant Agencies;,NY - Onondaga County;,-76.1495132,43.04583839
